,Region,Antal,/100 000 inv,Date,Location,Snow_days
0,Gotlands län,..,..,1998-12,Forse,21
1,Gotlands län,..,..,1998-12,Hejnum,15
2,Gotlands län,..,..,1998-12,Hemse,5
3,Gotlands län,..,..,1998-12,Hoburg D,4
4,Gotlands län,..,..,1998-12,Sanda,9
5,Gotlands län,..,..,1998-12,Vänge,8
6,Gotlands län,..,..,2002-10,Forse,2
7,Gotlands län,..,..,2002-10,Hoburg D,0
8,Gotlands län,..,..,2007-11,Austers D,0
9,Gotlands län,..,..,2007-11,Forse,25
10,Gotlands län,..,..,2007-11,Hejnum,2
11,Gotlands län,..,..,2007-11,Hemse,6
12,Gotlands län,..,..,2007-11,Hoburg D,1
13,Gotlands län,..,..,2007-11,Sanda,2
14,Gotlands län,..,..,2007-11,Vänge,6
15,Gotlands län,..,..,2011-11,Austers D,0
16,Gotlands län,..,..,2011-11,Forse,0
17,Gotlands län,..,..,2011-11,Hejnum,0
18,Gotlands län,..,..,2011-11,Hoburg D,0
19,Gotlands län,..,..,2011-11,Vänge,0
20,Gotlands län,..,..,2012-02,Austers D,20
21,Gotlands län,..,..,2012-02,Forse,29
22,Gotlands län,..,..,2012-02,Hejnum,24
23,Gotlands län,..,..,2012-02,Hemse,22
24,Gotlands län,..,..,2012-02,Hoburg D,11
25,Gotlands län,..,..,2012-02,Sanda,22
26,Gotlands län,..,..,2012-02,Vänge,26
27,Gotlands län,..,..,2013-12,Austers D,2
28,Gotlands län,..,..,2013-12,Forse,0
29,Gotlands län,..,..,2013-12,Hejnum,5
30,Gotlands län,..,..,2013-12,Hemse,4
31,Gotlands län,..,..,2013-12,Hoburg D,2
32,Gotlands län,..,..,2013-12,Sanda,2
33,Gotlands län,..,..,2013-12,Vänge,4
34,Gotlands län,..,..,2014-02,Austers D,3
35,Gotlands län,..,..,2014-02,Forse,25
36,Gotlands län,..,..,2014-02,Hejnum,8
37,Gotlands län,..,..,2014-02,Hemse,2
38,Gotlands län,..,..,2014-02,Hoburg D,1
39,Gotlands län,..,..,2014-02,Sanda,7
40,Gotlands län,..,..,2014-02,Vänge,8
41,Jämtlands län,..,..,2000-11,Ankarvattnet D,2
42,Jämtlands län,..,..,2000-11,Hammerdal D,1
43,Jämtlands län,..,..,2000-11,Hillsand,1
44,Jämtlands län,..,..,2000-11,Höglekardalen,30
45,Jämtlands län,..,..,2000-11,Kaxås-Åflo D,0
46,Jämtlands län,..,..,2000-11,Kyrktåsjö D,7
47,Jämtlands län,..,..,2000-11,Ljusnedal,17
48,Jämtlands län,..,..,2000-11,Löten D,0
49,Jämtlands län,..,..,2000-11,Marby D,8
50,Jämtlands län,..,..,2000-11,Myskelåsen D,30
51,Jämtlands län,..,..,2000-11,Mörsil,13
52,Jämtlands län,..,..,2000-11,Rissna D,1
53,Jämtlands län,..,..,2000-11,Storlien-Storvallen,7
54,Jämtlands län,..,..,2000-11,Sveg-Eggarna,1
55,Jämtlands län,..,..,2000-11,Tullus D,3
56,Jämtlands län,..,..,2000-11,Valsjöbyn,7
57,Jämtlands län,..,..,2000-11,Ytterhogdal,3
58,Jämtlands län,..,..,2005-12,Almdalen,31
59,Jämtlands län,..,..,2005-12,Ankarvattnet D,31
60,Jämtlands län,..,..,2005-12,Backe D,31
61,Jämtlands län,..,..,2005-12,Bispgården,12
62,Jämtlands län,..,..,2005-12,Dödre,31
63,Jämtlands län,..,..,2005-12,Hammerdal D,25
64,Jämtlands län,..,..,2005-12,Hillsand,21
65,Jämtlands län,..,..,2005-12,Höglekardalen,31
66,Jämtlands län,..,..,2005-12,Järpströmmen,18
67,Jämtlands län,..,..,2005-12,Kaxås-Åflo D,28
68,Jämtlands län,..,..,2005-12,Kyrktåsjö D,31
69,Jämtlands län,..,..,2005-12,Ljusnedal,31
70,Jämtlands län,..,..,2005-12,Lundsjön,31
71,Jämtlands län,..,..,2005-12,Löten D,31
72,Jämtlands län,..,..,2005-12,Marby D,3
73,Jämtlands län,..,..,2005-12,Myskelåsen D,31
74,Jämtlands län,..,..,2005-12,Mörsil,31
75,Jämtlands län,..,..,2005-12,Rissna D,29
76,Jämtlands län,..,..,2005-12,Rossön,31
77,Jämtlands län,..,..,2005-12,Storlien-Storvallen,25
78,Jämtlands län,..,..,2005-12,Sveg-Eggarna,28
79,Jämtlands län,..,..,2005-12,Tullus D,23
80,Jämtlands län,..,..,2005-12,Valsjöbyn,31
81,Jämtlands län,..,..,2005-12,Ytterberg D,31
82,Jämtlands län,..,..,2005-12,Ytterhogdal,31
83,Jämtlands län,..,..,2005-12,Åsarna D,0
84,Jämtlands län,..,..,2005-12,Ön,4
85,Jämtlands län,1,1,1995-01,Almdalen,1
86,Jämtlands län,1,1,1995-01,Backe D,2
87,Jämtlands län,1,1,1995-01,Bispgården,2
88,Jämtlands län,1,1,1995-01,Dödre,3
89,Jämtlands län,1,1,1995-01,Hammerdal D,2
90,Jämtlands län,1,1,1995-01,Hillsand,2
91,Jämtlands län,1,1,1995-01,Höglekardalen,23
92,Jämtlands län,1,1,1995-01,Järpströmmen,1
93,Jämtlands län,1,1,1995-01,Kaxås-Åflo D,2
94,Jämtlands län,1,1,1995-01,Kyrktåsjö D,1
95,Jämtlands län,1,1,1995-01,Ljusnedal,3
96,Jämtlands län,1,1,1995-01,Lundsjön,2
