,region,date,crime_count,snow_count
0,Gotlands län,1998-12-01,..,62
1,Gotlands län,2002-10-01,..,2
2,Gotlands län,2007-11-01,..,42
3,Gotlands län,2011-11-01,..,0
4,Gotlands län,2012-02-01,..,154
5,Gotlands län,2013-12-01,..,19
6,Gotlands län,2014-02-01,..,54
7,Jämtlands län,2000-11-01,..,131
8,Jämtlands län,2005-12-01,..,681
9,Jämtlands län,1995-01-01,1,295
10,Jämtlands län,1995-03-01,2,287
11,Jämtlands län,1995-11-01,2,92
12,Jämtlands län,1996-12-01,2,345
13,Norrbottens län,1995-12-01,4,324
14,Norrbottens län,1999-02-01,3,441
15,Norrbottens län,2003-01-01,3,557
16,Västerbottens län,2000-11-01,3,65
17,Västerbottens län,2001-02-01,3,220
18,Blekinge län,1995-03-01,16,1
19,Blekinge län,1996-10-01,15,0
20,Blekinge län,2000-03-01,15,1
21,Blekinge län,2000-11-01,15,0
22,Blekinge län,2002-11-01,15,0
23,Blekinge län,2005-01-01,15,0
24,Blekinge län,2007-03-01,15,2
25,Blekinge län,2011-02-01,16,75
26,Dalarnas län,1996-01-01,30,163
27,Dalarnas län,1996-03-01,30,115
28,Dalarnas län,1997-10-01,29,33
29,Dalarnas län,1998-12-01,29,220
30,Dalarnas län,2000-01-01,29,231
31,Dalarnas län,2001-11-01,29,145
32,Dalarnas län,2001-12-01,27,242
33,Dalarnas län,2002-10-01,29,44
34,Dalarnas län,2003-10-01,29,31
35,Dalarnas län,2003-12-01,29,243
36,Dalarnas län,2004-03-01,29,314
37,Dalarnas län,2004-12-01,27,254
38,Dalarnas län,2005-03-01,27,348
39,Dalarnas län,2010-10-01,27,8
40,Dalarnas län,2012-12-01,29,517
41,Dalarnas län,2014-10-01,27,3
42,Gotlands län,1995-01-01,6,69
43,Gotlands län,1995-02-01,6,41
44,Gotlands län,1996-10-01,6,0
45,Gotlands län,1996-12-01,6,84
46,Gotlands län,1997-10-01,6,1
47,Gotlands län,1998-10-01,6,2
48,Gotlands län,2004-03-01,6,24
49,Gotlands län,2005-11-01,6,12
50,Gotlands län,2007-10-01,6,0
51,Gävleborgs län,1996-01-01,28,13
52,Gävleborgs län,1996-12-01,28,131
53,Gävleborgs län,1999-12-01,28,157
54,Gävleborgs län,2000-12-01,28,57
55,Gävleborgs län,2005-10-01,28,16
56,Gävleborgs län,2005-11-01,27,60
57,Gävleborgs län,2007-10-01,27,3
58,Gävleborgs län,2009-01-01,27,461
59,Gävleborgs län,2010-10-01,29,7
60,Gävleborgs län,2011-12-01,28,285
61,Hallands län,1999-02-01,26,53
62,Jämtlands län,2008-10-01,13,40
63,Jämtlands län,2010-10-01,13,59
64,Jämtlands län,2012-10-01,13,166
65,Jönköpings län,1995-11-01,30,35
66,Jönköpings län,1995-12-01,30,45
67,Jönköpings län,1996-10-01,30,0
68,Jönköpings län,1996-11-01,30,25
69,Jönköpings län,2005-02-01,32,221
70,Jönköpings län,2008-10-01,34,6
71,Jönköpings län,2012-02-01,34,365
72,Jönköpings län,2013-02-01,35,315
73,Kalmar län,1998-12-01,25,129
74,Kalmar län,2002-03-01,23,21
75,Kalmar län,2002-10-01,24,19
76,Kalmar län,2004-02-01,23,84
77,Kalmar län,2005-01-01,23,101
78,Kalmar län,2008-03-01,24,79
79,Kronobergs län,1995-11-01,18,10
80,Kronobergs län,1997-01-01,18,45
81,Kronobergs län,1997-11-01,18,2
82,Kronobergs län,1999-02-01,18,58
83,Kronobergs län,2004-11-01,17,26
84,Kronobergs län,2007-02-01,18,73
85,Kronobergs län,2008-10-01,19,1
86,Norrbottens län,2009-10-01,24,626
87,Norrbottens län,2010-11-01,25,1015
88,Norrbottens län,2011-10-01,26,25
89,Norrbottens län,2012-01-01,26,1225
90,Norrbottens län,2013-01-01,24,1141
91,Stockholms län,1997-03-01,173,10
92,Stockholms län,1998-12-01,176,72
93,Stockholms län,2000-10-01,176,3
94,Södermanlands län,2001-01-01,25,48
95,Södermanlands län,2004-03-01,25,45
96,Södermanlands län,2004-12-01,26,49
97,Södermanlands län,2007-03-01,27,43
98,Södermanlands län,2008-03-01,26,26
99,Södermanlands län,2009-12-01,27,151
100,Södermanlands län,2010-02-01,26,259
101,Södermanlands län,2010-03-01,26,191
102,Södermanlands län,2010-11-01,26,106
103,Uppsala län,1995-01-01,28,80
104,Uppsala län,1998-03-01,30,33
105,Uppsala län,1999-03-01,30,44
106,Uppsala län,2000-03-01,28,18
107,Uppsala län,2001-01-01,31,37
108,Uppsala län,2002-03-01,29,25
109,Uppsala län,2002-12-01,30,51
110,Uppsala län,2003-10-01,29,18
111,Uppsala län,2004-01-01,29,175
112,Uppsala län,2005-01-01,30,79
113,Uppsala län,2006-01-01,32,223
114,Uppsala län,2006-10-01,30,0
115,Uppsala län,2007-01-01,31,116
116,Uppsala län,2007-10-01,32,0
117,Uppsala län,2008-03-01,34,54
118,Uppsala län,2009-02-01,32,196
119,Uppsala län,2011-11-01,34,6
120,Uppsala län,2012-03-01,34,7
121,Uppsala län,2012-12-01,34,196
122,Uppsala län,2013-02-01,36,201
123,Värmlands län,1996-03-01,29,68
124,Värmlands län,2001-02-01,28,84
125,Värmlands län,2002-01-01,27,130
126,Värmlands län,2002-12-01,26,159
127,Värmlands län,2004-01-01,28,218
128,Värmlands län,2007-10-01,26,2
129,Värmlands län,2008-02-01,27,210
130,Värmlands län,2008-11-01,28,90
131,Värmlands län,2009-01-01,26,268
132,Värmlands län,2009-11-01,26,51
133,Värmlands län,2012-02-01,27,402
134,Västerbottens län,2010-12-01,26,935
135,Västerbottens län,2011-10-01,26,19
136,Västerbottens län,2012-01-01,26,989
137,Västerbottens län,2012-10-01,25,184
138,Västernorrlands län,1996-01-01,26,69
139,Västernorrlands län,1997-10-01,26,1
140,Västernorrlands län,2003-12-01,25,102
141,Västernorrlands län,2004-10-01,24,0
142,Västernorrlands län,2005-10-01,24,18
143,Västernorrlands län,2008-01-01,25,378
144,Västernorrlands län,2009-10-01,24,14
145,Västernorrlands län,2011-01-01,25,531
146,Västmanlands län,1995-01-01,27,77
147,Västmanlands län,1997-01-01,25,48
148,Västmanlands län,1999-01-01,27,70
149,Västmanlands län,1999-03-01,27,96
150,Västmanlands län,2001-12-01,26,64
151,Västmanlands län,2004-02-01,26,114
152,Västmanlands län,2005-10-01,27,9
153,Västmanlands län,2008-02-01,25,74
154,Västmanlands län,2011-11-01,25,4
155,Västra Götalands län,1996-11-01,145,63
156,Västra Götalands län,1996-12-01,153,349
